component_type,domain,path_or_route,responsibility,entry_point,dependencies,side_effects,authorization,test_evidence,status
"route","Marketing","GET|HEAD admin/marketing-cheltuieli/create","Filament create page for the owning resource","App\Filament\Resources\MarketingAdSpendLogs\Pages\CreateMarketingAdSpendLog","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-cheltuieli/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\MarketingAdSpendLogs\Pages\EditMarketingAdSpendLog","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-recenzii","Filament list page for the owning resource","App\Filament\Resources\MarketingReviews\Pages\ListMarketingReviews","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-recenzii/create","Filament create page for the owning resource","App\Filament\Resources\MarketingReviews\Pages\CreateMarketingReview","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-recenzii/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\MarketingReviews\Pages\EditMarketingReview","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Scheduling","GET|HEAD admin/ordinea-de-zi","Filament list page for the owning resource","App\Filament\Pages\OrdineaDeZi","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Scheduling; tests/Feature/Panel/OrdineaDeZiTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-clienti","Filament list page for the owning resource","App\Filament\Resources\ParkingCustomers\Pages\ListParkingCustomers","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-clienti/create","Filament create page for the owning resource","App\Filament\Resources\ParkingCustomers\Pages\CreateParkingCustomer","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-clienti/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\ParkingCustomers\Pages\EditParkingCustomer","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-loturi","Filament list page for the owning resource","App\Filament\Resources\ParkingLots\Pages\ListParkingLots","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-loturi/create","Filament create page for the owning resource","App\Filament\Resources\ParkingLots\Pages\CreateParkingLot","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-loturi/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\ParkingLots\Pages\EditParkingLot","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-preturi","Filament list page for the owning resource","App\Filament\Resources\ParkingPrices\Pages\ListParkingPrices","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-preturi/create","Filament create page for the owning resource","App\Filament\Resources\ParkingPrices\Pages\CreateParkingPrice","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-preturi/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\ParkingPrices\Pages\EditParkingPrice","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-rezervari","Filament list page for the owning resource","App\Filament\Resources\ParkingReservations\Pages\ListParkingReservations","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-rezervari/create","Filament create page for the owning resource","App\Filament\Resources\ParkingReservations\Pages\CreateParkingReservation","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Parking","GET|HEAD admin/parcare-rezervari/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\ParkingReservations\Pages\EditParkingReservation","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationParkingReservationWebhookTest.php; tests/Feature/Panel/Parking*; tests/Feature/Schema/ParkingSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-clienti","Filament list page for the owning resource","App\Filament\Resources\RentClients\Pages\ListRentClients","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-clienti/create","Filament create page for the owning resource","App\Filament\Resources\RentClients\Pages\CreateRentClient","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-clienti/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\RentClients\Pages\EditRentClient","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-contracte","Filament list page for the owning resource","App\Filament\Resources\RentContracts\Pages\ListRentContracts","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-contracte/create","Filament create page for the owning resource","App\Filament\Resources\RentContracts\Pages\CreateRentContract","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-contracte/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\RentContracts\Pages\EditRentContract","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-masini","Filament list page for the owning resource","App\Filament\Resources\RentVehicles\Pages\ListRentVehicles","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-masini/create","Filament create page for the owning resource","App\Filament\Resources\RentVehicles\Pages\CreateRentVehicle","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-masini/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\RentVehicles\Pages\EditRentVehicle","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-mentenanta","Filament list page for the owning resource","App\Filament\Resources\RentMaintenanceRecords\Pages\ListRentMaintenanceRecords","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-mentenanta/create","Filament create page for the owning resource","App\Filament\Resources\RentMaintenanceRecords\Pages\CreateRentMaintenanceRecord","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Vehicle rental","GET|HEAD admin/rent-mentenanta/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\RentMaintenanceRecords\Pages\EditRentMaintenanceRecord","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Rent*; tests/Feature/Schema/RentSchemaTest.php",mapped
"route","Messaging and automation","GET|HEAD admin/sistem-automatizari","Filament list page for the owning resource","App\Filament\Resources\AutomationWebhookLogs\Pages\ListAutomationWebhookLogs","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationOutboundMessagesTest.php; tests/Feature/Messaging; tests/Feature/Panel/SystemPanelTest.php",mapped
"route","Messaging and automation","GET|HEAD admin/sistem-automatizari/create","Filament create page for the owning resource","App\Filament\Resources\AutomationWebhookLogs\Pages\CreateAutomationWebhookLog","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationOutboundMessagesTest.php; tests/Feature/Messaging; tests/Feature/Panel/SystemPanelTest.php",mapped
